QID,score
1,0.6381760239601135
2,0.614486575126648
3,0.6374786496162415
4,0.6527472138404846
5,0.6527472138404846
6,0.6414347290992737
7,0.686558723449707
8,0.7702423930168152
9,0.7129303812980652
10,0.5668302774429321
11,0.6363266706466675
12,0.6100546717643738
13,0.6426222324371338
14,0.7094638347625732
15,0.6192625164985657
16,0.5944681167602539
17,0.5992923378944397
18,0.6378187537193298
19,0.7043716907501221
20,0.6395371556282043
21,0.6408132910728455
22,0.6558361053466797
23,0.6056466698646545
24,0.6887972950935364
25,0.7080584168434143
26,0.6185246109962463
27,0.6041565537452698
28,0.6270974278450012
29,0.6552940607070923
30,0.6345645785331726
31,0.6791709661483765
32,0.6123876571655273
33,0.6490972638130188
34,0.6235577464103699
35,0.613254725933075
36,0.6822449564933777
37,0.5833917856216431
38,0.5964905023574829
39,0.6949903964996338
40,0.6807321310043335
41,0.7278387546539307
